"gameids","away","home","awayscore","homescore"
"0021700001","Celtics","Cavaliers",99,102
"0021700002","Rockets","Warriors",122,121
"0021700003","Hornets","Pistons",90,102
"0021700004","Nets","Pacers",131,140
"0021700005","Heat","Magic",109,116
"0021700006","76ers","Wizards",115,120
"0021700007","Bucks","Celtics",108,100
"0021700008","Pelicans","Grizzlies",91,103
"0021700009","Hawks","Mavericks",117,111
"0021700010","Nuggets","Jazz",96,106
"0021700011","Timberwolves","Spurs",99,107
"0021700012","TrailBlazers","Suns",124,76
"0021700013","Rockets","Kings",105,100
"0021700014","Bulls","Raptors",100,117
"0021700015","Knicks","Thunder",84,105
"0021700016","Clippers","Lakers",108,92
"0021700017","Hawks","Hornets",91,109
"0021700018","TrailBlazers","Pacers",114,96
"0021700019","Celtics","76ers",102,92
"0021700020","Pistons","Wizards",111,115
"0021700021","Cavaliers","Bucks",116,97
"0021700022","Magic","Nets",121,126
"0021700023","Jazz","Timberwolves",97,100
"0021700024","Kings","Mavericks",93,88
"0021700025","Warriors","Pelicans",128,120
"0021700026","Lakers","Suns",132,130
"0021700027","76ers","Raptors",94,128
"0021700028","Magic","Cavaliers",114,93
"0021700029","Pacers","Heat",108,112
"0021700030","Pistons","Knicks",111,107
"0021700031","Spurs","Bulls",87,77
"0021700032","Mavericks","Rockets",91,107
"0021700033","Warriors","Grizzlies",101,111
"0021700034","TrailBlazers","Bucks",110,113
"0021700035","Kings","Nuggets",79,96
"0021700036","Thunder","Jazz",87,96
"0021700037","Suns","Clippers",88,130
"0021700038","Hawks","Nets",104,116
"0021700039","Timberwolves","Thunder",115,113
"0021700040","Pelicans","Lakers",119,112
"0021700041","76ers","Pistons",97,86
"0021700042","Hawks","Heat",93,104
"0021700043","Grizzlies","Rockets",98,90
"0021700044","Hornets","Bucks",94,103
"0021700045","Warriors","Mavericks",133,103
"0021700046","Raptors","Spurs",97,101
"0021700047","Wizards","Nuggets",109,104
"0021700048","Kings","Suns",115,117
"0021700049","Bulls","Cavaliers",112,119
"0021700050","Nets","Magic",121,125
"0021700051","Knicks","Celtics",89,110
"0021700052","Pacers","Timberwolves",130,107
"0021700053","Pelicans","TrailBlazers",93,103
"0021700054","Jazz","Clippers",84,102
"0021700055","Nuggets","Hornets",93,110
"0021700056","Timberwolves","Pistons",101,122
"0021700057","Rockets","76ers",105,104
"0021700058","Cavaliers","Nets",107,112
"0021700059","Spurs","Heat",117,100
"0021700060","Pacers","Thunder",96,114
"0021700061","Grizzlies","Mavericks",94,103
"0021700062","Jazz","Suns",88,97
"0021700063","Raptors","Warriors",112,117
"0021700064","Wizards","Lakers",99,102
"0021700065","Hawks","Bulls",86,91
"0021700066","Mavericks","Grizzlies",91,96
"0021700067","Celtics","Bucks",96,89
"0021700068","Clippers","TrailBlazers",104,103
"0021700069","Pelicans","Kings",114,106
"0021700070","Rockets","Hornets",109,93
"0021700071","Spurs","Magic",87,114
"0021700072","Nuggets","Hawks",105,100
"0021700073","Nets","Knicks",86,107
"0021700074","Thunder","Timberwolves",116,119
"0021700075","Wizards","Warriors",117,120
"0021700076","Raptors","Lakers",101,92
"0021700077","Cavaliers","Pelicans",101,123
"0021700078","Celtics","Heat",96,90
"0021700079","Thunder","Bulls",101,69
"0021700080","Rockets","Grizzlies",89,103
"0021700081","76ers","Mavericks",112,110
"0021700082","Lakers","Jazz",81,96
"0021700083","Suns","TrailBlazers",107,114
"0021700084","Pistons","Clippers",95,87
"0021700085","Bucks","Hawks",117,106
"0021700086","Spurs","Pacers",94,97
"0021700087","Nuggets","Nets",124,111
"0021700088","Magic","Hornets",113,120
"0021700089","Wizards","Kings",110,83
"0021700090","Knicks","Cavaliers",114,95
"0021700091","Pistons","Warriors",115,107
"0021700092","Spurs","Celtics",94,108
"0021700093","Timberwolves","Heat",125,122
"0021700094","Nuggets","Knicks",110,116
"0021700095","76ers","Rockets",115,107
"0021700096","Hornets","Grizzlies",104,99
"0021700097","Magic","Pelicans",115,99
"0021700098","Mavericks","Jazz",89,104
"0021700099","Raptors","TrailBlazers",99,85
"0021700100","Warriors","Clippers",141,113
"0021700101","Kings","Pacers",83,101
"0021700102","Suns","Nets",122,114
"0021700103","Thunder","Bucks",110,91
"0021700104","Pistons","Lakers",93,113
"0021700105","Bucks","Hornets",121,126
"0021700106","Pacers","Cavaliers",124,107
"0021700107","Hawks","76ers",109,119
"0021700108","Suns","Wizards",122,116
"0021700109","Kings","Celtics",86,113
"0021700110","Bulls","Heat",91,97
"0021700111","Rockets","Knicks",119,97
"0021700112","Magic","Grizzlies",101,99
"0021700113","Timberwolves","Pelicans",104,98
"0021700114","Raptors","Nuggets",111,129
"0021700115","TrailBlazers","Jazz",103,112
"0021700116","Mavericks","Clippers",98,119
"0021700117","Warriors","Spurs",112,92
"0021700118","Lakers","TrailBlazers",110,113
"0021700119","Bucks","Pistons",96,105
"0021700120","Bulls","Magic",105,83
"0021700121","Pacers","76ers",110,121
"0021700122","Cavaliers","Wizards",130,122
"0021700123","Rockets","Hawks",119,104
"0021700124","Suns","Knicks",107,120
"0021700125","Pelicans","Mavericks",99,94
"0021700126","Hornets","Spurs",101,108
"0021700127","Heat","Nuggets",94,95
"0021700128","Raptors","Jazz",109,100
"0021700129","Celtics","Thunder",101,94
"0021700130","Nets","Lakers",112,124
"0021700131","Grizzlies","Clippers",113,104
"0021700132","Kings","Pistons",99,108
"0021700133","Pelicans","Bulls",96,90
"0021700134","Mavericks","Timberwolves",99,112
"0021700135","Warriors","Nuggets",127,108
"0021700136","Hawks","Cavaliers",117,115
"0021700137","Heat","Clippers",104,101
"0021700138","Celtics","Magic",104,88
"0021700139","Wizards","Raptors",107,96
"0021700140","Jazz","Rockets",110,137
"0021700141","Suns","Spurs",95,112
"0021700142","Pacers","Knicks",101,108
"0021700143","Hornets","Timberwolves",94,112
"0021700144","Thunder","TrailBlazers",99,103
"0021700145","Grizzlies","Lakers",102,107
"0021700146","Celtics","Hawks",110,107
"0021700147","Nets","Suns",98,92
"0021700148","Heat","Warriors",80,97
"0021700149","Bucks","Cavaliers",119,124
"0021700150","Pelicans","Pacers",117,112
"0021700151","Mavericks","Wizards",113,99
"0021700152","Hornets","Knicks",113,118
"0021700153","Bulls","Raptors",114,119
"0021700154","Clippers","Spurs",107,120
"0021700155","Nets","Nuggets",104,112
"0021700156","76ers","Jazz",104,97
"0021700157","Grizzlies","TrailBlazers",98,97
"0021700158","Thunder","Kings",86,94
"0021700159","Pacers","Pistons",97,114
"0021700160","Knicks","Magic",99,112
"0021700161","Lakers","Celtics",96,107
"0021700162","Heat","Suns",126,115
"0021700163","Timberwolves","Warriors",101,125
"0021700164","Lakers","Wizards",95,111
"0021700165","Pelicans","Raptors",118,122
"0021700166","Cavaliers","Rockets",113,117
"0021700167","76ers","Kings",108,109
"0021700168","Thunder","Nuggets",94,102
"0021700169","Hawks","Pistons",104,111
"0021700170","Hornets","Celtics",87,90
"0021700171","Pacers","Bulls",105,87
"0021700172","Clippers","Thunder",111,120
"0021700173","Bucks","Spurs",94,87
"0021700174","Magic","Suns",128,112
"0021700175","Heat","Jazz",84,74
"0021700176","Nets","TrailBlazers",101,97
"0021700177","Hawks","Wizards",94,113
"0021700178","Clippers","Pelicans",103,111
"0021700179","Kings","Knicks",91,118
"0021700180","Grizzlies","Rockets",96,111
"0021700181","Cavaliers","Mavericks",111,104
"0021700182","Lakers","Bucks",90,98
"0021700183","Bulls","Spurs",94,133
"0021700184","76ers","Warriors",114,135
"0021700185","Magic","Nuggets",107,125
"0021700186","Timberwolves","Suns",110,118
"0021700187","Nets","Jazz",106,114
"0021700188","Raptors","Celtics",94,95
"0021700189","Heat","Pistons",103,112
"0021700190","Rockets","Pacers",118,95
"0021700191","Mavericks","Thunder",99,112
"0021700192","Kings","Wizards",92,110
"0021700193","Cavaliers","Knicks",104,101
"0021700194","Grizzlies","Bucks",103,110
"0021700195","Hawks","Pelicans",105,106
"0021700196","Lakers","Suns",100,93
"0021700197","Timberwolves","Jazz",109,98
"0021700198","Nuggets","TrailBlazers",82,99
"0021700199","Magic","Warriors",100,110
"0021700200","76ers","Clippers",109,105
"0021700201","Celtics","Nets",109,102
"0021700202","Raptors","Rockets",129,113
"0021700203","Spurs","Mavericks",97,91
"0021700204","Kings","Hawks",80,126
"0021700205","Wizards","Heat",102,93
"0021700206","Jazz","Knicks",101,106
"0021700207","Cavaliers","Hornets",115,107
"0021700208","Pacers","Grizzlies",116,113
"0021700209","Pistons","Bucks",95,99
"0021700210","Spurs","Timberwolves",86,98
"0021700211","Raptors","Pelicans",125,116
"0021700212","Bulls","Thunder",79,92
"0021700213","Magic","TrailBlazers",94,99
"0021700214","76ers","Lakers",115,109
"0021700215","Warriors","Celtics",88,92
"0021700216","Rockets","Suns",142,116
"0021700217","Pistons","Pacers",100,107
"0021700218","Heat","Wizards",91,88
"0021700219","Jazz","Nets",107,118
"0021700220","Clippers","Cavaliers",113,118
"0021700221","Knicks","Raptors",84,107
"0021700222","Hornets","Bulls",120,123
"0021700223","Thunder","Spurs",101,104
"0021700224","Timberwolves","Mavericks",111,87
"0021700225","TrailBlazers","Kings",82,86
"0021700226","Pelicans","Nuggets",114,146
"0021700227","Suns","Lakers",122,113
"0021700228","Clippers","Hornets",87,102
"0021700229","Jazz","Magic",125,85
"0021700230","Celtics","Hawks",110,99
"0021700231","Warriors","76ers",124,116
"0021700232","Rockets","Grizzlies",105,83
"0021700233","Bucks","Mavericks",79,111
"0021700234","Kings","TrailBlazers",90,102
"0021700235","Pacers","Heat",120,95
"0021700236","Warriors","Nets",118,111
"0021700237","Wizards","Raptors",91,100
"0021700238","Pistons","Timberwolves",100,97
"0021700239","Bulls","Suns",105,113
"0021700240","Nuggets","Lakers",109,127
"0021700241","Timberwolves","Hornets",102,118
"0021700242","Cavaliers","Pistons",116,88
"0021700243","Pacers","Magic",105,97
"0021700244","Jazz","76ers",86,107
"0021700245","Clippers","Knicks",85,107
"0021700246","TrailBlazers","Grizzlies",100,92
"0021700247","Wizards","Bucks",99,88
"0021700248","Thunder","Pelicans",107,114
"0021700249","Celtics","Mavericks",110,102
"0021700250","Hawks","Spurs",85,96
"0021700251","Nuggets","Kings",114,98
"0021700252","Bulls","Lakers",94,103
"0021700253","Wizards","Hornets",124,129
"0021700254","Nets","Cavaliers",109,119
"0021700255","TrailBlazers","76ers",81,101
"0021700256","Clippers","Hawks",116,103
"0021700257","Celtics","Heat",98,104
"0021700258","Raptors","Knicks",100,108
"0021700259","Nuggets","Rockets",95,125
"0021700260","Mavericks","Grizzlies",95,94
"0021700261","Magic","Timberwolves",118,124
"0021700262","Spurs","Pelicans",90,107
"0021700263","Warriors","Thunder",91,108
"0021700264","Bucks","Suns",113,107
"0021700265","Bulls","Jazz",80,110
"0021700266","Lakers","Kings",102,113
"0021700267","TrailBlazers","Nets",127,125
"0021700268","Knicks","Hawks",104,116
"0021700269","Magic","Celtics",103,118
"0021700270","Hornets","Cavaliers",99,100
"0021700271","Raptors","Pacers",104,107
"0021700272","Heat","Timberwolves",109,97
"0021700273","Pistons","Thunder",99,98
"0021700274","Grizzlies","Nuggets",92,104
"0021700275","Pelicans","Suns",115,91
"0021700276","Bulls","Warriors",94,143
"0021700277","Spurs","Hornets",106,86
"0021700278","Magic","76ers",111,130
"0021700279","TrailBlazers","Wizards",108,105
"0021700280","Raptors","Hawks",112,78
"0021700281","Celtics","Pacers",108,98
"0021700282","Knicks","Rockets",102,117
"0021700283","Thunder","Mavericks",81,97
"0021700284","Pelicans","Warriors",95,110
"0021700285","Bucks","Jazz",108,121
"0021700286","Clippers","Kings",97,95
"0021700287","Heat","Bulls",100,93
"0021700288","Suns","Timberwolves",108,119
"0021700289","Nets","Grizzlies",98,88
"0021700290","Magic","Pacers",109,121
"0021700291","Cavaliers","76ers",113,91
"0021700292","Pistons","Celtics",118,108
"0021700293","TrailBlazers","Knicks",103,91
"0021700294","Nets","Rockets",103,117
"0021700295","Mavericks","Spurs",108,115
"0021700296","Kings","Warriors",110,106
"0021700297","Lakers","Clippers",115,120
"0021700298","Heat","Cavaliers",97,108
"0021700299","Suns","Bulls",104,99
"0021700300","Wizards","Timberwolves",92,89
"0021700301","Nuggets","Jazz",77,106
"0021700302","Bucks","Kings",112,87
"0021700303","Suns","Pistons",107,131
"0021700304","Thunder","Magic",108,121
"0021700305","Wizards","76ers",113,118
"0021700306","Heat","Knicks",86,115
"0021700307","Hornets","Raptors",113,126
"0021700308","Pacers","Rockets",97,118
"0021700309","Timberwolves","Pelicans",120,102
"0021700310","Nets","Mavericks",109,104
"0021700311","Grizzlies","Spurs",95,104
"0021700312","Warriors","Lakers",127,123
"0021700313","Cavaliers","Hawks",121,114
"0021700314","76ers","Celtics",97,108
"0021700315","Bulls","Nuggets",110,111
"0021700316","Bucks","TrailBlazers",103,91
"0021700317","Jazz","Clippers",126,107
"0021700318","Warriors","Magic",133,112
"0021700319","Pacers","Raptors",115,120
"0021700320","Pistons","Wizards",91,109
"0021700321","Hornets","Heat",100,105
"0021700322","Kings","Bulls",107,106
"0021700323","Spurs","Grizzlies",95,79
"0021700324","Timberwolves","Thunder",107,111
"0021700325","Pelicans","Jazz",108,114
"0021700326","Suns","Celtics",111,116
"0021700327","Clippers","Mavericks",82,108
"0021700328","Hawks","Nets",114,102
"0021700329","Grizzlies","Cavaliers",111,116
"0021700330","Pistons","76ers",103,108
"0021700331","Kings","Bucks",104,109
"0021700332","Lakers","Nuggets",100,115
"0021700333","Pelicans","TrailBlazers",123,116
"0021700334","Magic","Knicks",105,100
"0021700335","Warriors","Heat",123,95
"0021700336","Clippers","Timberwolves",106,112
"0021700337","Spurs","Thunder",87,90
"0021700338","Rockets","Lakers",118,95
"0021700339","Magic","Hornets",94,104
"0021700340","Knicks","Pacers",97,115
"0021700341","Suns","76ers",115,101
"0021700342","Nets","Hawks",110,90
"0021700343","Bucks","Celtics",100,111
"0021700344","Cavaliers","Bulls",113,91
"0021700345","Timberwolves","Grizzlies",92,95
"0021700346","Warriors","Pelicans",125,115
"0021700347","Nuggets","Mavericks",105,122
"0021700348","Pistons","Spurs",93,96
"0021700349","Wizards","Jazz",69,116
"0021700350","Suns","Raptors",113,126
"0021700351","Jazz","Thunder",94,100
"0021700352","Wizards","TrailBlazers",106,92
"0021700353","Kings","Cavaliers",95,101
"0021700354","Bulls","Pacers",96,98
"0021700355","Hawks","Magic",106,110
"0021700356","Mavericks","Celtics",90,97
"0021700357","Grizzlies","Knicks",88,99
"0021700358","Warriors","Hornets",101,87
"0021700359","Pistons","Bucks",100,104
"0021700360","Nuggets","Pelicans",114,123
"0021700361","Heat","Spurs",105,117
"0021700362","Timberwolves","Clippers",113,107
"0021700363","Lakers","76ers",107,104
"0021700364","Wizards","Suns",109,99
"0021700365","Thunder","Nets",95,100
"0021700366","Rockets","Jazz",112,101
"0021700367","Bulls","Hornets",119,111
"0021700368","Warriors","Pistons",102,98
"0021700369","Cavaliers","Pacers",102,106
"0021700370","Nuggets","Magic",103,89
"0021700371","Raptors","Grizzlies",116,107
"0021700372","Mavericks","Bucks",102,109
"0021700373","Kings","Pelicans",116,109
"0021700374","Celtics","Spurs",102,105
"0021700375","Wizards","Clippers",112,113
"0021700376","Heat","Nets",101,89
"0021700377","Lakers","Hornets",110,99
"0021700378","Magic","Hawks",110,117
"0021700379","76ers","Cavaliers",98,105
"0021700380","Knicks","Bulls",102,104
"0021700381","Jazz","Bucks",100,117
"0021700382","Thunder","Grizzlies",102,101
"0021700383","Spurs","Suns",104,101
"0021700384","Rockets","TrailBlazers",124,117
"0021700385","Raptors","Kings",102,87
"0021700386","Celtics","Pistons",91,81
"0021700387","Nuggets","Pacers",116,126
"0021700388","Mavericks","Timberwolves",92,97
"0021700389","76ers","Pelicans",124,131
"0021700390","Hawks","Knicks",107,111
"0021700391","Celtics","Bulls",85,108
"0021700392","Pelicans","Rockets",123,130
"0021700393","Heat","Grizzlies",107,82
"0021700394","Hornets","Thunder",116,103
"0021700395","TrailBlazers","Warriors",104,111
"0021700396","Raptors","Clippers",91,96
"0021700397","Hawks","Cavaliers",114,123
"0021700398","Nuggets","Pistons",103,84
"0021700399","Lakers","Knicks",109,113
"0021700400","Wizards","Nets",98,103
"0021700401","76ers","Timberwolves",118,112
"0021700402","Spurs","Mavericks",89,95
"0021700403","Suns","Kings",92,99
"0021700404","Thunder","Pacers",100,95
"0021700405","Clippers","Magic",106,95
"0021700406","Grizzlies","Wizards",87,93
"0021700407","Nuggets","Celtics",118,124
"0021700408","TrailBlazers","Heat",102,95
"0021700409","Jazz","Bulls",100,103
"0021700410","Bucks","Pelicans",108,115
"0021700411","Raptors","Suns",115,109
"0021700412","Hornets","Rockets",96,108
"0021700413","Pistons","Hawks",105,91
"0021700414","Knicks","Nets",111,104
"0021700415","Lakers","Cavaliers",112,121
"0021700416","Kings","Timberwolves",96,119
"0021700417","Mavericks","Warriors",97,112
"0021700418","Heat","Hornets",104,98
"0021700419","Pistons","Pacers",104,98
"0021700420","TrailBlazers","Magic",95,88
"0021700421","Thunder","76ers",119,117
"0021700422","Clippers","Wizards",91,100
"0021700423","Jazz","Celtics",107,95
"0021700424","Nets","Raptors",87,120
"0021700425","Hawks","Grizzlies",94,96
"0021700426","Bulls","Bucks",115,109
"0021700427","Pelicans","Nuggets",111,117
"0021700428","Spurs","Rockets",109,124
"0021700429","TrailBlazers","Hornets",93,91
"0021700430","Jazz","Cavaliers",100,109
"0021700431","Thunder","Knicks",96,111
"0021700432","Clippers","Heat",85,90
"0021700433","Bucks","Rockets",111,115
"0021700434","Suns","Timberwolves",108,106
"0021700435","Mavericks","Spurs",96,98
"0021700436","Celtics","Grizzlies",102,93
"0021700437","Kings","Raptors",93,108
"0021700438","Magic","Pistons",110,114
"0021700439","Pacers","Nets",109,97
"0021700440","Cavaliers","Wizards",106,99
"0021700441","Knicks","Hornets",91,109
"0021700442","Celtics","Pacers",112,111
"0021700443","Heat","Hawks",104,110
"0021700444","76ers","Bulls",115,117
"0021700445","Jazz","Rockets",99,120
"0021700446","TrailBlazers","Timberwolves",107,108
"0021700447","Nuggets","Thunder",94,95
"0021700448","Suns","Mavericks",97,91
"0021700449","Clippers","Spurs",91,109
"0021700450","Warriors","Lakers",116,114
"0021700451","Kings","76ers",101,95
"0021700452","Pelicans","Wizards",106,116
"0021700453","Cavaliers","Bucks",116,119
"0021700454","Raptors","Hornets",129,111
"0021700455","Pacers","Hawks",105,95
"0021700456","Heat","Celtics",90,89
"0021700457","Kings","Nets",104,99
"0021700458","Magic","Bulls",94,112
"0021700459","Lakers","Rockets",122,116
"0021700460","Jazz","Thunder",79,107
"0021700461","Pistons","Mavericks",93,110
"0021700462","Timberwolves","Nuggets",112,104
"0021700463","Spurs","TrailBlazers",93,91
"0021700464","Grizzlies","Warriors",84,97
"0021700465","Suns","Clippers",95,108
"0021700466","Bulls","Cavaliers",112,115
"0021700467","Raptors","76ers",114,109
"0021700468","Celtics","Knicks",93,102
"0021700469","Grizzlies","Suns",95,97
"0021700470","Spurs","Jazz",89,100
"0021700471","Knicks","Pistons",101,104
"0021700472","Pelicans","Magic",111,97
"0021700473","Wizards","Nets",84,119
"0021700474","Mavericks","Heat",101,113
"0021700475","Clippers","Rockets",128,118
"0021700476","Hornets","Bucks",104,109
"0021700477","Hawks","Thunder",117,120
"0021700478","Nuggets","TrailBlazers",102,85
"0021700479","Lakers","Warriors",106,113
"0021700480","76ers","Raptors",86,102
"0021700481","Bucks","Hornets",106,111
"0021700482","Nets","Pacers",119,123
"0021700483","Magic","Wizards",103,130
"0021700484","Mavericks","Hawks",107,112
"0021700485","Bulls","Celtics",92,117
"0021700486","Pelicans","Heat",109,94
"0021700487","Clippers","Grizzlies",112,115
"0021700488","Thunder","Jazz",103,89
"0021700489","Nuggets","Warriors",96,81
"0021700490","Timberwolves","Suns",115,106
"0021700491","TrailBlazers","Lakers",95,92
"0021700492","Spurs","Kings",108,99
"0021700493","76ers","Knicks",105,98
"0021700494","Cavaliers","Warriors",92,99
"0021700495","Wizards","Celtics",111,103
"0021700496","Rockets","Thunder",107,112
"0021700497","Timberwolves","Lakers",121,104
"0021700498","Pacers","Pistons",83,107
"0021700499","Raptors","Mavericks",93,98
"0021700500","Magic","Heat",89,107
"0021700501","Bulls","Bucks",115,106
"0021700502","Nets","Spurs",97,109
"0021700503","Jazz","Nuggets",83,107
"0021700504","Grizzlies","Suns",97,99
"0021700505","Kings","Clippers",95,122
"0021700506","Celtics","Hornets",102,91
"0021700507","Mavericks","Pacers",98,94
"0021700508","Wizards","Hawks",99,113
"0021700509","Knicks","Bulls",87,92
"0021700510","Nuggets","Timberwolves",125,128
"0021700511","Nets","Pelicans",113,128
"0021700512","Raptors","Thunder",107,124
"0021700513","Cavaliers","Kings",95,109
"0021700514","Jazz","Warriors",101,126
"0021700515","Grizzlies","Lakers",109,99
"0021700516","Pistons","Magic",89,102
"0021700517","Rockets","Celtics",98,99
"0021700518","Timberwolves","Bucks",96,102
"0021700519","Knicks","Spurs",107,119
"0021700520","76ers","TrailBlazers",110,114
"0021700521","Rockets","Wizards",103,121
"0021700522","Hawks","Raptors",98,111
"0021700523","Nets","Heat",111,87
"0021700524","Pacers","Bulls",107,119
"0021700525","Mavericks","Pelicans",128,120
"0021700526","Bucks","Thunder",97,95
"0021700527","Suns","Kings",111,101
"0021700528","Hornets","Warriors",111,100
"0021700529","Clippers","Lakers",121,106
"0021700530","Spurs","Pistons",79,93
"0021700531","Heat","Magic",117,111
"0021700532","Knicks","Pelicans",105,103
"0021700533","TrailBlazers","Hawks",89,104
"0021700534","Cavaliers","Jazz",101,104
"0021700535","Grizzlies","Warriors",128,141
"0021700536","76ers","Nuggets",107,102
"0021700537","Bulls","Wizards",110,114
"0021700538","Timberwolves","Pacers",107,90
"0021700539","Nets","Celtics",105,108
"0021700540","Lakers","Rockets",142,148
"0021700541","Mavericks","Thunder",116,113
"0021700542","Hornets","Clippers",98,106
"0021700543","Grizzlies","Kings",114,96
"0021700544","76ers","Suns",123,110
"0021700545","Magic","Nets",95,98
"0021700546","Bucks","Raptors",127,131
"0021700547","TrailBlazers","Bulls",124,120
"0021700548","Lakers","Timberwolves",96,114
"0021700549","TrailBlazers","Cavaliers",110,127
"0021700550","Spurs","Knicks",100,91
"0021700551","Hawks","Suns",103,104
"0021700552","Hornets","Kings",131,111
"0021700553","Grizzlies","Clippers",105,113
"0021700554","Rockets","Magic",116,98
"0021700555","Spurs","76ers",106,112
"0021700556","Knicks","Wizards",103,121
"0021700557","Timberwolves","Nets",97,98
"0021700558","Pistons","Heat",104,111
"0021700559","Cavaliers","Celtics",88,102
"0021700560","Raptors","Bulls",124,115
"0021700561","Pacers","Bucks",101,122
"0021700562","Warriors","Mavericks",125,122
"0021700563","Suns","Nuggets",111,134
"0021700564","Pelicans","Jazz",108,98
"0021700565","Thunder","Lakers",133,96
"0021700566","Warriors","Rockets",124,114
"0021700567","Thunder","Clippers",127,117
"0021700568","Knicks","Heat",103,107
"0021700569","Pistons","76ers",78,114
"0021700570","Timberwolves","Celtics",84,91
"0021700571","Raptors","Bucks",129,110
"0021700572","Bulls","Mavericks",127,124
"0021700573","Suns","Spurs",89,103
"0021700574","Jazz","Nuggets",91,99
"0021700575","Wizards","Grizzlies",102,100
"0021700576","Hawks","TrailBlazers",89,110
"0021700577","Hornets","Lakers",108,94
"0021700578","Warriors","Clippers",121,105
"0021700579","Celtics","Nets",87,85
"0021700580","Rockets","Pistons",101,108
"0021700581","Bulls","Pacers",86,125
"0021700582","Cavaliers","Magic",131,127
"0021700583","Bucks","Wizards",110,103
"0021700584","Pelicans","Timberwolves",98,116
"0021700585","Nuggets","Kings",98,106
"0021700586","Jazz","Heat",102,103
"0021700587","Knicks","Mavericks",100,96
"0021700588","Thunder","Suns",100,114
"0021700589","Spurs","TrailBlazers",110,111
"0021700590","Hawks","Lakers",113,132
"0021700591","Bucks","Pacers",96,109
"0021700592","Raptors","Nets",114,113
"0021700593","Rockets","Bulls",116,107
"0021700594","Cavaliers","Timberwolves",99,127
"0021700595","Pistons","Pelicans",109,112
"0021700596","Spurs","Kings",107,100
"0021700597","Nuggets","Warriors",114,124
"0021700598","Hawks","Clippers",107,108
"0021700599","Heat","Raptors",90,89
"0021700600","TrailBlazers","Thunder",117,106
"0021700601","Magic","Mavericks",99,114
"0021700602","Kings","Lakers",86,99
"0021700603","Mavericks","Hornets",115,111
"0021700604","Heat","Pacers",114,106
"0021700605","Jazz","Wizards",107,104
"0021700606","Pistons","Nets",114,80
"0021700607","Bulls","Knicks",122,119
"0021700608","TrailBlazers","Rockets",112,121
"0021700609","Pelicans","Grizzlies",102,105
"0021700610","Magic","Bucks",103,110
"0021700611","Thunder","Timberwolves",88,104
"0021700612","Hawks","Nuggets",110,97
"0021700613","Clippers","Warriors",125,106
"0021700614","Celtics","76ers",114,103
