"gameids","away","home","awayscore","homescore"
"0021700615","Cavaliers","Raptors",99,133
"0021700616","Clippers","Kings",121,115
"0021700617","Spurs","Lakers",81,93
"0021700618","Jazz","Hornets",88,99
"0021700619","Cavaliers","Pacers",95,97
"0021700620","Magic","Wizards",119,125
"0021700621","Nets","Hawks",110,105
"0021700622","Warriors","Bucks",108,94
"0021700623","Knicks","Timberwolves",108,118
"0021700624","TrailBlazers","Pelicans",113,119
"0021700625","Grizzlies","Nuggets",78,87
"0021700626","Rockets","Suns",112,95
"0021700627","Lakers","Mavericks",107,101
"0021700628","Kings","Clippers",105,126
"0021700629","Thunder","Hornets",101,91
"0021700630","Nets","Wizards",113,119
"0021700631","Warriors","Raptors",127,125
"0021700632","Pistons","Bulls",105,107
"0021700633","Nuggets","Spurs",80,112
"0021700634","Bucks","Heat",79,97
"0021700635","Pelicans","Knicks",123,118
"0021700636","Pacers","Suns",120,97
"0021700637","TrailBlazers","Timberwolves",103,120
"0021700638","Hornets","Pistons",118,107
"0021700639","Raptors","76ers",111,117
"0021700640","Bucks","Wizards",104,95
"0021700641","Spurs","Hawks",99,102
"0021700642","Knicks","Nets",119,104
"0021700643","Kings","Thunder",88,95
"0021700644","Heat","Bulls",111,119
"0021700645","Lakers","Grizzlies",114,123
"0021700646","Warriors","Cavaliers",118,108
"0021700647","Pacers","Jazz",109,94
"0021700648","Rockets","Clippers",102,113
"0021700649","Timberwolves","Magic",102,108
"0021700650","Pelicans","Celtics",116,113
"0021700651","Mavericks","Nuggets",102,105
"0021700652","Suns","TrailBlazers",111,118
"0021700653","Wizards","Hornets",109,133
"0021700654","Pelicans","Hawks",93,94
"0021700655","Spurs","Nets",100,95
"0021700656","Pistons","Raptors",91,96
"0021700657","Warriors","Bulls",119,112
"0021700658","Knicks","Grizzlies",99,105
"0021700659","Heat","Bucks",106,101
"0021700660","Lakers","Thunder",90,114
"0021700661","Jazz","Kings",120,105
"0021700662","Nuggets","Clippers",104,109
"0021700663","76ers","Celtics",89,80
"0021700664","Magic","Cavaliers",103,104
"0021700665","Timberwolves","Rockets",98,116
"0021700666","Pacers","TrailBlazers",86,100
"0021700667","Spurs","Raptors",83,86
"0021700668","Heat","Nets",95,101
"0021700669","Wizards","Pistons",122,112
"0021700670","Kings","Grizzlies",88,106
"0021700671","Suns","Nuggets",108,100
"0021700672","Knicks","Jazz",117,115
"0021700673","Pacers","Lakers",86,99
"0021700674","Thunder","Cavaliers",148,124
"0021700675","Bulls","Hawks",113,97
"0021700676","Heat","Hornets",106,105
"0021700677","Grizzlies","Pelicans",104,111
"0021700678","Bucks","76ers",94,116
"0021700679","Warriors","Rockets",108,116
"0021700680","Raptors","Timberwolves",109,115
"0021700681","Clippers","Jazz",113,125
"0021700682","Mavericks","TrailBlazers",108,117
"0021700683","Magic","Celtics",103,95
"0021700684","Knicks","Lakers",107,127
"0021700685","Nets","Pistons",101,100
"0021700686","Pacers","Spurs",94,86
"0021700687","Kings","Hornets",107,112
"0021700688","Jazz","Hawks",90,104
"0021700689","Heat","Rockets",90,99
"0021700690","76ers","Grizzlies",101,105
"0021700691","Suns","Bucks",105,109
"0021700692","Bulls","Pelicans",128,132
"0021700693","Wizards","Mavericks",75,98
"0021700694","TrailBlazers","Nuggets",101,104
"0021700695","Timberwolves","Clippers",126,118
"0021700696","Kings","Magic",105,99
"0021700697","Nets","Thunder",108,109
"0021700698","Cavaliers","Spurs",102,114
"0021700699","Knicks","Warriors",112,123
"0021700700","Celtics","Lakers",107,108
"0021700701","Pelicans","Hornets",101,96
"0021700702","Jazz","Pistons",98,95
"0021700703","Suns","Pacers",101,116
"0021700704","Bulls","76ers",101,115
"0021700705","Raptors","Hawks",108,93
"0021700706","Rockets","Mavericks",104,97
"0021700707","Spurs","Grizzlies",108,85
"0021700708","Timberwolves","TrailBlazers",114,123
"0021700709","Celtics","Clippers",113,102
"0021700710","Kings","Heat",89,88
"0021700711","Wizards","Thunder",112,121
"0021700712","Knicks","Nuggets",118,130
"0021700713","Timberwolves","Warriors",113,126
"0021700714","Hawks","Hornets",110,121
"0021700715","Pacers","Cavaliers",108,115
"0021700716","Jazz","Raptors",97,93
"0021700717","Lakers","Bulls",108,103
"0021700718","Clippers","Grizzlies",109,100
"0021700719","Nets","Bucks",91,116
"0021700720","Rockets","Pelicans",113,115
"0021700721","TrailBlazers","Mavericks",107,93
"0021700722","76ers","Spurs",97,78
"0021700723","Knicks","Suns",107,85
"0021700724","Thunder","Pistons",121,108
"0021700725","Magic","Pacers",112,114
"0021700726","Wizards","Hawks",129,104
"0021700727","Hornets","Heat",91,95
"0021700728","Celtics","Warriors",105,109
"0021700729","Nets","Timberwolves",97,111
"0021700730","Mavericks","Nuggets",89,91
"0021700731","Bucks","Bulls",110,96
"0021700732","Suns","Rockets",102,113
"0021700733","Clippers","Pelicans",112,103
"0021700734","Pistons","Cavaliers",104,121
"0021700735","Lakers","Raptors",111,123
"0021700736","76ers","Thunder",112,122
"0021700737","Kings","Spurs",98,113
"0021700738","Hornets","Pacers",96,105
"0021700739","Timberwolves","Hawks",100,105
"0021700740","Suns","Grizzlies",109,120
"0021700741","76ers","Bucks",95,107
"0021700742","Heat","Mavericks",95,88
"0021700743","Celtics","Nuggets",111,110
"0021700744","Thunder","Wizards",96,102
"0021700745","Nets","Knicks",95,111
"0021700746","Timberwolves","Raptors",104,109
"0021700747","Cavaliers","Pistons",114,125
"0021700748","Magic","Rockets",107,114
"0021700749","Kings","Pelicans",114,103
"0021700750","Nuggets","Spurs",104,106
"0021700751","Warriors","Jazz",99,129
"0021700752","TrailBlazers","Clippers",104,96
"0021700753","Grizzlies","Pacers",101,105
"0021700754","Lakers","Magic",105,127
"0021700755","Hornets","Hawks",123,110
"0021700756","76ers","Nets",108,116
"0021700757","Heat","Cavaliers",89,91
"0021700758","Knicks","Celtics",73,103
"0021700759","Bulls","TrailBlazers",108,124
"0021700760","Mavericks","Suns",88,102
"0021700761","Grizzlies","Pistons",102,104
"0021700762","Raptors","Wizards",119,122
"0021700763","Bucks","Timberwolves",89,108
"0021700764","Rockets","Spurs",102,91
"0021700765","Thunder","Nuggets",124,127
"0021700766","Pacers","Hornets",126,133
"0021700767","Hawks","Celtics",110,119
"0021700768","Lakers","Nets",102,99
"0021700769","TrailBlazers","Raptors",105,130
"0021700770","Heat","76ers",97,103
"0021700771","Knicks","Bucks",90,92
"0021700772","Pelicans","Thunder",114,100
"0021700773","Jazz","Suns",129,97
"0021700774","Warriors","Kings",119,104
"0021700775","Bulls","Clippers",103,113
"0021700776","Heat","Pistons",107,111
"0021700777","76ers","Pacers",92,100
"0021700778","Wizards","Magic",115,98
"0021700779","Rockets","Cavaliers",120,88
"0021700780","Pelicans","Timberwolves",107,118
"0021700781","Jazz","Spurs",120,111
"0021700782","Warriors","Nuggets",108,115
"0021700783","Mavericks","Kings",106,99
"0021700784","TrailBlazers","Celtics",96,97
"0021700785","Bucks","Nets",109,94
"0021700786","Hawks","Knicks",99,96
"0021700787","Grizzlies","Raptors",86,101
"0021700788","Lakers","Thunder",108,104
"0021700789","Hornets","Suns",115,110
"0021700790","TrailBlazers","Pistons",91,111
"0021700791","Wizards","Pacers",111,102
"0021700792","Magic","Heat",111,109
"0021700793","Jazz","Pelicans",133,109
"0021700794","Hornets","Nuggets",104,121
"0021700795","Bulls","Kings",98,104
"0021700796","Mavericks","Clippers",101,104
"0021700797","Cavaliers","Magic",98,116
"0021700798","Celtics","Raptors",91,111
"0021700799","Grizzlies","Hawks",82,108
"0021700800","Rockets","Nets",123,113
"0021700801","Bucks","Knicks",103,89
"0021700802","Wizards","76ers",102,115
"0021700803","Thunder","Warriors",125,105
"0021700804","Suns","Lakers",93,112
"0021700805","Nets","Pistons",106,115
"0021700806","Rockets","Heat",109,101
"0021700807","Timberwolves","Cavaliers",138,140
"0021700808","Jazz","Grizzlies",92,88
"0021700809","Pacers","Pelicans",92,96
"0021700810","Spurs","Suns",129,81
"0021700811","Hawks","Magic",98,100
"0021700812","Knicks","Raptors",88,113
"0021700813","Celtics","Wizards",110,104
"0021700814","Hornets","TrailBlazers",103,109
"0021700815","Mavericks","Warriors",103,121
"0021700816","Thunder","Lakers",81,106
"0021700817","Clippers","Pistons",108,95
"0021700818","Pelicans","76ers",82,100
"0021700819","Cavaliers","Hawks",123,107
"0021700820","Pacers","Celtics",97,91
"0021700821","Bucks","Heat",85,91
"0021700822","Timberwolves","Bulls",113,114
"0021700823","Nuggets","Rockets",104,130
"0021700824","Hornets","Jazz",94,106
"0021700825","TrailBlazers","Kings",118,100
"0021700826","Pelicans","Nets",138,128
"0021700827","Bucks","Magic",111,104
"0021700828","Clippers","76ers",98,112
"0021700829","Wizards","Bulls",101,90
"0021700830","Lakers","Mavericks",123,130
"0021700831","Spurs","Warriors",105,122
"0021700832","Nuggets","Suns",123,113
"0021700833","Raptors","Hornets",123,103
"0021700834","Pistons","Hawks",115,118
"0021700835","Cavaliers","Celtics",121,99
"0021700836","Knicks","Pacers",113,121
"0021700837","Mavericks","Rockets",97,104
"0021700838","Kings","Timberwolves",106,111
"0021700839","Grizzlies","Thunder",92,110
"0021700840","Jazz","TrailBlazers",115,96
"0021700841","Pelicans","Pistons",118,103
"0021700842","Knicks","76ers",92,108
"0021700843","Clippers","Nets",114,101
"0021700844","Magic","Bulls",101,105
"0021700845","Spurs","Jazz",99,101
"0021700846","Suns","Warriors",83,129
"0021700847","Heat","Raptors",112,115
"0021700848","Hawks","Bucks",92,97
"0021700849","Rockets","Timberwolves",126,108
"0021700850","Cavaliers","Thunder",120,112
"0021700851","Kings","Mavericks",114,109
"0021700852","Spurs","Nuggets",109,117
"0021700853","Hawks","Pistons",98,104
"0021700854","Hornets","Magic",104,102
"0021700855","Heat","76ers",102,104
"0021700856","Pacers","Nets",108,103
"0021700857","Wizards","Knicks",118,113
"0021700858","Clippers","Celtics",129,119
"0021700859","Raptors","Bulls",122,98
"0021700860","Kings","Rockets",91,100
"0021700861","Thunder","Grizzlies",121,114
"0021700862","Lakers","Pelicans",117,139
"0021700863","Suns","Jazz",97,107
"0021700864","Warriors","TrailBlazers",117,123
"0021700865","Nuggets","Bucks",134,123
"0021700866","Lakers","Timberwolves",111,119
"0021700867","Nets","Hornets",96,111
"0021700868","Knicks","Magic",120,113
"0021700869","Wizards","Cavaliers",110,103
"0021700870","76ers","Bulls",116,115
"0021700871","Thunder","Kings",110,107
"0021700872","Clippers","Warriors",127,134
"0021700873","Celtics","Pistons",110,98
"0021700874","Hawks","Pacers",93,116
"0021700875","Hornets","Wizards",122,105
"0021700876","Bucks","Raptors",122,119
"0021700877","Timberwolves","Rockets",102,120
"0021700878","Cavaliers","Grizzlies",112,89
"0021700879","Heat","Pelicans",123,124
"0021700880","Spurs","Nuggets",119,122
"0021700881","Clippers","Suns",128,117
"0021700882","TrailBlazers","Jazz",100,81
"0021700883","Mavericks","Lakers",102,124
"0021700884","Magic","76ers",105,116
"0021700885","Grizzlies","Heat",89,115
"0021700886","Celtics","Knicks",121,112
"0021700887","Thunder","Warriors",80,112
"0021700888","Bulls","Timberwolves",104,122
"0021700889","TrailBlazers","Suns",106,104
"0021700890","Mavericks","Jazz",90,97
"0021700891","Lakers","Kings",113,108
"0021700892","Pistons","Hornets",98,114
"0021700893","Pelicans","Bucks",123,121
"0021700894","Spurs","Cavaliers",110,94
"0021700895","76ers","Wizards",94,109
"0021700896","Rockets","Nuggets",119,114
"0021700897","Lakers","Hawks",123,104
"0021700898","Grizzlies","Celtics",98,109
"0021700899","Bulls","Nets",87,104
"0021700900","Warriors","Knicks",125,111
"0021700901","Pistons","Raptors",94,123
"0021700902","Suns","Pelicans",116,125
"0021700903","Magic","Thunder",105,112
"0021700904","Pacers","Mavericks",103,109
"0021700905","Rockets","Jazz",96,85
"0021700906","Timberwolves","Kings",118,100
"0021700907","Bulls","Hornets",103,118
"0021700908","Nets","Cavaliers",123,129
"0021700909","76ers","Heat",101,102
"0021700910","Wizards","Bucks",107,104
"0021700911","Kings","TrailBlazers",99,116
"0021700912","Clippers","Nuggets",122,120
"0021700913","Bucks","Pistons",87,110
"0021700914","Raptors","Magic",117,104
"0021700915","Pacers","Hawks",102,107
"0021700916","Hornets","Celtics",106,134
"0021700917","Warriors","Wizards",109,101
"0021700918","Suns","Grizzlies",110,102
"0021700919","Thunder","Mavericks",111,110
"0021700920","Pelicans","Spurs",121,116
"0021700921","Rockets","Clippers",105,92
"0021700922","Lakers","Heat",131,113
"0021700923","76ers","Cavaliers",108,97
"0021700924","Nets","Kings",111,116
"0021700925","Timberwolves","TrailBlazers",99,108
"0021700926","Pistons","Magic",106,115
"0021700927","Hornets","76ers",99,110
"0021700928","Warriors","Hawks",114,109
"0021700929","Raptors","Wizards",102,95
"0021700930","Mavericks","Bulls",100,108
"0021700931","Nuggets","Grizzlies",108,102
"0021700932","Pacers","Bucks",103,96
"0021700933","Thunder","Suns",124,116
"0021700934","Timberwolves","Jazz",108,116
"0021700935","Knicks","Clippers",105,128
"0021700936","Grizzlies","Magic",100,107
"0021700937","Nuggets","Cavaliers",126,117
"0021700938","Pistons","Heat",96,105
"0021700939","Celtics","Rockets",120,123
"0021700940","Lakers","Spurs",116,112
"0021700941","Thunder","TrailBlazers",100,108
"0021700942","Jazz","Kings",98,91
"0021700943","Suns","Hawks",112,113
"0021700944","Hornets","Raptors",98,103
"0021700945","Pacers","Wizards",98,95
"0021700946","Pelicans","Mavericks",126,109
"0021700947","76ers","Bucks",110,118
"0021700948","Nets","Clippers",120,123
"0021700949","Knicks","Kings",99,102
"0021700950","Pistons","Cavaliers",90,112
"0021700951","Bucks","Pacers",89,92
"0021700952","Suns","Heat",103,125
"0021700953","Celtics","Bulls",105,89
"0021700954","Grizzlies","Spurs",98,100
"0021700955","Magic","Jazz",80,94
"0021700956","TrailBlazers","Lakers",108,103
"0021700957","76ers","Hornets",128,114
"0021700958","Hawks","Raptors",90,106
"0021700959","Heat","Wizards",113,117
"0021700960","Rockets","Thunder",122,112
"0021700961","Nuggets","Mavericks",107,118
"0021700962","Knicks","TrailBlazers",87,111
"0021700963","Nets","Warriors",101,114
"0021700964","Pelicans","Clippers",121,116
"0021700965","Jazz","Pacers",104,84
"0021700966","Raptors","Pistons",121,119
"0021700967","Grizzlies","Bulls",110,119
"0021700968","Rockets","Bucks",110,99
"0021700969","Pelicans","Kings",114,101
"0021700970","Cavaliers","Nuggets",113,108
"0021700971","Magic","Lakers",107,108
"0021700972","Nets","Hornets",125,111
"0021700973","76ers","Heat",99,108
"0021700974","Celtics","Timberwolves",117,109
"0021700975","Suns","Thunder",87,115
"0021700976","Spurs","Warriors",107,110
"0021700977","Bulls","Pistons",83,99
"0021700978","Hawks","Pacers",87,112
"0021700979","Rockets","Raptors",105,108
"0021700980","Jazz","Grizzlies",95,78
"0021700981","Knicks","Bucks",112,120
"0021700982","Wizards","Pelicans",116,97
"0021700983","Lakers","Nuggets",116,125
"0021700984","Warriors","TrailBlazers",108,125
"0021700985","Magic","Kings",88,94
"0021700986","Cavaliers","Clippers",102,116
"0021700987","Suns","Hornets",115,122
"0021700988","Wizards","Heat",102,129
"0021700989","Grizzlies","Mavericks",80,114
"0021700990","Spurs","Thunder",94,104
"0021700991","Magic","Clippers",105,113
"0021700992","Raptors","Knicks",132,106
"0021700993","Bulls","Hawks",129,122
"0021700994","Warriors","Timberwolves",103,109
"0021700995","Jazz","Pelicans",116,99
"0021700996","Kings","Nuggets",104,130
"0021700997","Rockets","Mavericks",105,82
"0021700998","Pacers","Celtics",99,97
"0021700999","76ers","Nets",120,97
"0021701000","Cavaliers","Lakers",113,127
"0021701001","Spurs","Rockets",93,109
"0021701002","Bucks","Grizzlies",121,103
"0021701003","Kings","Thunder",101,106
"0021701004","Heat","TrailBlazers",99,115
"0021701005","Pacers","76ers",101,98
"0021701006","Timberwolves","Wizards",116,111
"0021701007","Thunder","Hawks",119,107
"0021701008","Raptors","Nets",116,102
"0021701009","Mavericks","Knicks",110,97
"0021701010","Clippers","Bulls",112,106
"0021701011","Hornets","Pelicans",115,119
"0021701012","Magic","Spurs",72,108
"0021701013","Pistons","Jazz",79,110
"0021701014","Cavaliers","Suns",129,107
"0021701015","Nuggets","Lakers",103,112
"0021701016","Bucks","Magic",117,126
"0021701017","Wizards","Celtics",125,124
"0021701018","Heat","Kings",119,123
"0021701019","Lakers","Warriors",106,117
"0021701020","Raptors","Pacers",106,99
"0021701021","Hornets","Hawks",129,117
"0021701022","76ers","Knicks",118,110
"0021701023","Clippers","Rockets",96,101
"0021701024","Bulls","Grizzlies",111,110
"0021701025","Pelicans","Spurs",93,98
"0021701026","Pistons","Nuggets",113,120
"0021701027","Suns","Jazz",88,116
"0021701028","Cavaliers","TrailBlazers",105,113
"0021701029","Celtics","Magic",92,83
"0021701030","Nets","76ers",116,120
"0021701031","Mavericks","Raptors",115,122
"0021701032","Clippers","Thunder",113,121
"0021701033","Kings","Warriors",98,93
"0021701034","Heat","Lakers",92,91
"0021701035","Pacers","Wizards",102,109
"0021701036","Rockets","Pelicans",107,101
"0021701037","Mavericks","Nets",106,114
"0021701038","Hornets","Knicks",101,124
"0021701039","Cavaliers","Bulls",114,109
"0021701040","Nuggets","Grizzlies",94,101
"0021701041","Hawks","Bucks",117,122
"0021701042","Timberwolves","Spurs",101,117
"0021701043","Kings","Jazz",97,103
"0021701044","Warriors","Suns",124,109
"0021701045","Pistons","TrailBlazers",87,100
"0021701046","Thunder","Raptors",132,125
"0021701047","Celtics","Pelicans",89,108
"0021701048","Rockets","Timberwolves",129,120
"0021701049","TrailBlazers","Clippers",122,109
"0021701050","Bucks","Cavaliers",117,124
"0021701051","Lakers","Pacers",100,110
"0021701052","Hornets","76ers",94,108
"0021701053","Grizzlies","Nets",115,118
"0021701054","Nuggets","Heat",141,149
"0021701055","Bulls","Knicks",92,110
"0021701056","Warriors","Spurs",75,89
"0021701057","Pistons","Kings",106,90
"0021701058","Raptors","Magic",93,86
"0021701059","Thunder","Celtics",99,100
"0021701060","Clippers","Timberwolves",109,123
"0021701061","Mavericks","Pelicans",105,115
"0021701062","Hawks","Jazz",99,94
"0021701063","Pistons","Suns",115,88
"0021701064","Rockets","TrailBlazers",115,111
"0021701065","Raptors","Cavaliers",129,132
"0021701066","Grizzlies","76ers",105,119
"0021701067","Hornets","Nets",111,105
"0021701068","Knicks","Heat",98,119
"0021701069","Nuggets","Bulls",135,102
"0021701070","Clippers","Bucks",127,120
"0021701071","Wizards","Spurs",90,98
"0021701072","Grizzlies","Hornets",79,140
"0021701073","76ers","Magic",118,98
"0021701074","Pistons","Rockets",96,100
"0021701075","Lakers","Pelicans",125,128
"0021701076","Jazz","Mavericks",119,112
"0021701077","Hawks","Kings",90,105
"0021701078","Clippers","Pacers",104,109
"0021701079","Nuggets","Wizards",108,100
"0021701080","Suns","Cavaliers",95,120
"0021701081","Timberwolves","Knicks",108,104
"0021701082","Nets","Raptors",112,116
"0021701083","Bucks","Bulls",118,105
"0021701084","Heat","Thunder",99,105
"0021701085","Jazz","Spurs",120,124
"0021701086","Celtics","TrailBlazers",105,100
"0021701087","Hawks","Warriors",94,106
"0021701088","Timberwolves","76ers",108,120
"0021701089","Bulls","Pistons",95,117
"0021701090","Suns","Magic",99,105
"0021701091","Pelicans","Rockets",91,114
"0021701092","Lakers","Grizzlies",100,93
"0021701093","Hornets","Mavericks",102,98
"0021701094","Cavaliers","Nets",121,114
"0021701095","Spurs","Bucks",103,106
"0021701096","Heat","Pacers",107,113
"0021701097","Clippers","Raptors",117,106
"0021701098","Knicks","Wizards",101,97
"0021701099","Celtics","Kings",104,93
"0021701100","TrailBlazers","Thunder",108,105
"0021701101","Hawks","Rockets",99,118
"0021701102","Jazz","Warriors",110,91
"0021701103","Knicks","Hornets",128,137
"0021701104","Lakers","Pistons",106,112
"0021701105","Nuggets","76ers",104,123
"0021701106","Grizzlies","Timberwolves",101,93
"0021701107","Celtics","Suns",102,94
"0021701108","Spurs","Wizards",106,116
"0021701109","Nuggets","Raptors",110,114
"0021701110","Cavaliers","Heat",79,98
"0021701111","Bulls","Rockets",86,118
"0021701112","TrailBlazers","Pelicans",107,103
"0021701113","Mavericks","Kings",103,97
"0021701114","Pacers","Warriors",92,81
"0021701115","Bucks","Clippers",98,105
"0021701116","Cavaliers","Hornets",118,105
"0021701117","Nets","Magic",111,104
"0021701118","Knicks","76ers",101,118
"0021701119","TrailBlazers","Grizzlies",103,108
"0021701120","Hawks","Timberwolves",114,126
"0021701121","Celtics","Jazz",97,94
"0021701122","Clippers","Suns",111,99
"0021701123","Mavericks","Lakers",93,103
"0021701124","Wizards","Pistons",92,103
"0021701125","Bulls","Heat",92,103
"0021701126","Thunder","Spurs",99,103
"0021701127","Pacers","Kings",106,103
"0021701128","Bucks","Warriors",116,107
"0021701129","Bulls","Magic",90,82
"0021701130","76ers","Hawks",101,91
"0021701131","Pelicans","Cavaliers",102,107
"0021701132","Suns","Rockets",103,104
"0021701133","Nuggets","Thunder",126,125
"0021701134","Timberwolves","Mavericks",93,92
"0021701135","Grizzlies","Jazz",97,107
"0021701136","Bucks","Lakers",124,122
"0021701137","Clippers","TrailBlazers",96,105
"0021701138","Hornets","Wizards",93,107
"0021701139","Pistons","Knicks",115,109
"0021701140","Raptors","Celtics",99,110
"0021701141","Nets","Heat",110,109
"0021701142","Warriors","Kings",112,96
"0021701143","76ers","Hornets",119,102
"0021701144","Wizards","Bulls",94,113
"0021701145","Rockets","Spurs",83,100
"0021701146","Pacers","Clippers",111,104
"0021701147","Magic","Hawks",88,94
"0021701148","Pistons","Nets",108,96
"0021701149","Mavericks","Cavaliers",87,98
"0021701150","Thunder","Pelicans",109,104
"0021701151","Jazz","Timberwolves",121,97
"0021701152","Bucks","Nuggets",125,128
"0021701153","Suns","Warriors",107,117
"0021701154","Grizzlies","TrailBlazers",98,113
"0021701155","Kings","Lakers",84,83
"0021701156","Raptors","Cavaliers",106,112
"0021701157","Nets","76ers",95,121
"0021701158","Hawks","Heat",98,101
"0021701159","Magic","Knicks",97,73
"0021701160","Hornets","Bulls",114,120
"0021701161","Wizards","Rockets",104,120
"0021701162","Celtics","Bucks",102,106
"0021701163","Warriors","Thunder",111,107
"0021701164","TrailBlazers","Mavericks",109,115
"0021701165","Pacers","Nuggets",104,107
"0021701166","Lakers","Jazz",110,117
"0021701167","Kings","Suns",94,97
"0021701168","Spurs","Clippers",110,113
"0021701169","76ers","Pistons",115,108
"0021701170","Mavericks","Magic",100,105
"0021701171","Celtics","Raptors",78,96
"0021701172","Heat","Hawks",115,86
"0021701173","Grizzlies","Pelicans",95,123
"0021701174","Spurs","Lakers",112,122
"0021701175","Warriors","Pacers",106,126
"0021701176","Wizards","Cavaliers",115,119
"0021701177","TrailBlazers","Rockets",94,96
"0021701178","Nets","Bucks",119,111
"0021701179","Clippers","Jazz",95,117
"0021701180","Timberwolves","Nuggets",96,100
"0021701181","Mavericks","Pistons",106,113
"0021701182","Hornets","Magic",137,100
"0021701183","Cavaliers","76ers",130,132
"0021701184","Hawks","Wizards",103,97
"0021701185","Bulls","Celtics",104,111
"0021701186","Heat","Knicks",98,122
"0021701187","Pacers","Raptors",73,92
"0021701188","Kings","Grizzlies",94,93
"0021701189","Pelicans","Suns",122,103
"0021701190","Timberwolves","Lakers",113,96
"0021701191","Nuggets","Clippers",134,115
"0021701192","Bucks","Knicks",115,102
"0021701193","Nets","Bulls",124,96
"0021701194","Thunder","Rockets",108,102
"0021701195","Pelicans","Warriors",126,120
"0021701196","TrailBlazers","Spurs",105,116
"0021701197","Pacers","Hornets",123,117
"0021701198","Mavericks","76ers",97,109
"0021701199","Pistons","Grizzlies",117,130
"0021701200","Magic","Raptors",101,112
"0021701201","Jazz","Lakers",112,97
"0021701202","Hawks","Celtics",112,106
"0021701203","Warriors","Suns",117,100
"0021701204","Raptors","Pistons",108,98
"0021701205","Bulls","Nets",105,114
"0021701206","Thunder","Heat",115,93
"0021701207","Cavaliers","Knicks",123,109
"0021701208","Magic","Bucks",86,102
"0021701209","Grizzlies","Timberwolves",94,113
"0021701210","Kings","Spurs",85,98
"0021701211","TrailBlazers","Nuggets",82,88
"0021701212","Pelicans","Clippers",113,100
"0021701213","Hornets","Pacers",119,93
"0021701214","76ers","Hawks",121,113
"0021701215","Celtics","Wizards",101,113
"0021701216","Suns","Mavericks",124,97
"0021701217","Warriors","Jazz",79,119
"0021701218","Rockets","Lakers",105,99
"0021701219","Nets","Celtics",97,110
"0021701220","Knicks","Cavaliers",110,98
"0021701221","Raptors","Heat",109,116
"0021701222","Wizards","Magic",92,101
"0021701223","Bucks","76ers",95,130
"0021701224","Pistons","Bulls",119,87
"0021701225","Nuggets","Timberwolves",106,112
"0021701226","Spurs","Pelicans",98,122
"0021701227","Grizzlies","Thunder",123,137
"0021701228","Lakers","Clippers",115,100
"0021701229","Jazz","TrailBlazers",93,102
"0021701230","Rockets","Kings",83,96
